Observed_Name,Concept,Dataset_Context,Example_Context,Confidence,User_Confirmed,Times_Seen,Active,Last_Seen,Context_Identity,Context_Family,Source_Run_ID,Learned_By
Cat,financial_accrual_category,Site-level accrued-liability detail,In a detailed accrual dataset Cat can be the economic accrual category; confirm from neighbouring liability and amount fields.,HIGH,Yes,1,Yes,2026-08-26,CURATED:site_accrual_detail:cat_financial,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Cat,location_category,Site or location reference data,In a site reference or mapping dataset Cat can describe the location/site type rather than a financial category.,HIGH,Yes,1,Yes,2026-08-26,CURATED:site_reference:cat_location,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Cat,liability_control_category,Mixed liability/control schedule,In a tax or other-liability support schedule Cat can be a liability/control classification; use worksheet and neighbouring-field context.,HIGH,Yes,1,Yes,2026-08-26,CURATED:liability_control:cat,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Map1,management_reporting_classification,GL or nominal accrued-liability detail,Map1 may be a legacy management OCL subclass or reporting classification and must not be universalized across engagements.,HIGH,Yes,1,Yes,2026-08-26,CURATED:gl_accrual_detail:map1,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Description,account_description,GL or nominal account detail,Description beside Nominal/account fields normally describes the GL account rather than a vendor or accrual obligation.,HIGH,Yes,1,Yes,2026-08-26,CURATED:gl_accrual_detail:description,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Liability Description,accrual_line_description,Site-level accrued-liability detail,Liability Description beside site/liability code/category/month/value describes the operational accrual line.,HIGH,Yes,1,Yes,2026-08-26,CURATED:site_accrual_detail:liability_description,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Description,employee_liability_description,Employee-liability supporting schedule,Description in an employee-liability schedule describes the employee-liability item and is not automatically an account description.,HIGH,Yes,1,Yes,2026-08-26,CURATED:employee_liability:description,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Entity,entity_identifier,Accounting or accrual dataset,Entity is an organizational/legal-entity identifier when supported by the dataset grain.,HIGH,Yes,1,Yes,2026-08-26,CURATED:accounting:entity,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Nominal,account_code,GL or nominal account detail,Nominal is commonly the GL/nominal account code when paired with an account description and balances.,HIGH,Yes,1,Yes,2026-08-26,CURATED:gl:nominal,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Closing Balance,closing_balance,Accrued-liability detail,Closing Balance is the point-in-time liability balance for the applicable period/entity/grain.,HIGH,Yes,1,Yes,2026-08-26,CURATED:accrual:closing_balance,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Prior Year,prior_period_balance,Comparative accrued-liability detail,Prior Year is a comparative balance and should not be treated as a current-period transaction amount.,HIGH,Yes,1,Yes,2026-08-26,CURATED:accrual:prior_year,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
